Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount, Discounted Unit Price,Profit,Profit Margin,Lead Time,Delivery Status
1,CA-2013-152156,09/11/2013 00:00,12/11/2013 00:00,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,130.98,41.9136,0.16,3,On - time
2,CA-2013-152156,09/11/2013 00:00,12/11/2013 00:00,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,243.98,219.582,0.3,3,On - time
3,CA-2013-138688,13/06/2013 00:00,17/06/2013 00:00,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,7.31,6.8714,0.47,4,On - time
4,US-2012-108966,11/10/2012 00:00,18/10/2012 00:00,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,191.5155,-383.031,-0.4,7,Late
5,US-2012-108966,11/10/2012 00:00,18/10/2012 00:00,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,11.184,2.5164,0.1125,7,Late
6,CA-2011-115812,09/06/2011 00:00,14/06/2011 00:00,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,6.98,14.1694,0.29,5,Late
7,CA-2011-115812,09/06/2011 00:00,14/06/2011 00:00,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0,1.82,1.9656,0.27,5,Late
8,CA-2011-115812,09/06/2011 00:00,14/06/2011 00:00,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,151.192,90.7152,0.1,5,Late
9,CA-2011-115812,09/06/2011 00:00,14/06/2011 00:00,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,6.168,5.7825,0.3125,5,Late
10,CA-2011-115812,09/06/2011 00:00,14/06/2011 00:00,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0,22.98,34.47,0.3,5,Late
11,CA-2011-115812,09/06/2011 00:00,14/06/2011 00:00,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,189.576,85.3092,0.05,5,Late
12,CA-2011-115812,09/06/2011 00:00,14/06/2011 00:00,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,227.856,68.3568,0.075,5,Late
13,CA-2014-114412,16/04/2014 00:00,21/04/2014 00:00,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.184,5.4432,0.35,5,Late
14,CA-2013-161389,06/12/2013 00:00,11/12/2013 00:00,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,135.992,132.5922,0.325,5,Late
15,US-2012-118983,22/11/2012 00:00,26/11/2012 00:00,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,13.762,-123.858,-1.8,4,On - time
16,US-2012-118983,22/11/2012 00:00,26/11/2012 00:00,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,0.848,-3.816,-1.5,4,On - time
17,CA-2011-105893,11/11/2011 00:00,18/11/2011 00:00,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0,110.98,13.3176,0.02,7,Late
18,CA-2011-167164,13/05/2011 00:00,15/05/2011 00:00,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0,27.75,9.99,0.18,2,On - time
19,CA-2011-143336,27/08/2011 00:00,01/09/2011 00:00,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0,4.28,2.4824,0.29,5,Late
